,train_acc,val_acc,test_acc
MUTAG,0.8133333333333334,0.8421052631578947,0.7894736842105263
BZR,0.8487654320987654,0.875,0.7804878048780488
COX2,0.8150134048257373,0.7021276595744681,0.7659574468085106
DHFR,0.609271523178808,0.618421052631579,0.6052631578947368
PTC_MR,0.5709090909090909,0.5294117647058824,0.6857142857142857
AIDS,0.99625,0.995,0.995
NCI1,0.7393552311435523,0.7688564476885644,0.7396593673965937
ENZYMES,0.425,0.38333333333333336,0.5666666666666667
DD,0.8248407643312102,0.7288135593220338,0.7033898305084746
PROTEINS,0.7719101123595505,0.8108108108108109,0.7232142857142857
