,train_acc,val_acc,test_acc
MUTAG,0.8533333333333334,0.8421052631578947,0.7894736842105263
BZR,0.845679012345679,0.875,0.8048780487804879
COX2,0.7962466487935657,0.7659574468085106,0.8085106382978723
DHFR,0.6059602649006622,0.618421052631579,0.6052631578947368
PTC_MR,0.6181818181818182,0.5882352941176471,0.5714285714285714
AIDS,0.995625,0.995,0.995
NCI1,0.7515206812652068,0.7858880778588808,0.7493917274939172
ENZYMES,0.4395833333333333,0.43333333333333335,0.5333333333333333
DD,0.8248407643312102,0.7372881355932204,0.6949152542372882
PROTEINS,0.7595505617977528,0.8288288288288288,0.6964285714285714
