,train_acc,val_acc,test_acc
MUTAG,0.82,0.7368421052631579,0.8421052631578947
BZR,0.8302469135802469,0.85,0.7560975609756098
COX2,0.7962466487935657,0.7446808510638298,0.7872340425531915
DHFR,0.597682119205298,0.618421052631579,0.6052631578947368
PTC_MR,0.6436363636363637,0.5294117647058824,0.5714285714285714
AIDS,0.99625,0.995,0.995
NCI1,0.753345498783455,0.7834549878345499,0.7420924574209246
ENZYMES,0.4395833333333333,0.3333333333333333,0.5
DD,0.8343949044585988,0.711864406779661,0.711864406779661
PROTEINS,0.7764044943820225,0.8018018018018018,0.7053571428571429
