,train_acc,val_acc,test_acc
MUTAG,0.82,0.8947368421052632,0.7894736842105263
BZR,0.8333333333333334,0.825,0.8048780487804879
COX2,0.8042895442359249,0.7021276595744681,0.7659574468085106
DHFR,0.6076158940397351,0.618421052631579,0.6052631578947368
PTC_MR,0.6254545454545455,0.4117647058823529,0.5714285714285714
AIDS,0.995625,0.995,0.99
NCI1,0.7560827250608273,0.7712895377128953,0.7664233576642335
ENZYMES,0.4666666666666667,0.36666666666666664,0.5333333333333333
DD,0.8694267515923567,0.7288135593220338,0.7033898305084746
PROTEINS,0.7775280898876404,0.8018018018018018,0.6875
